ds,power,wetbulb_temperature,humidity
2023-06-27 17:08:00,2088.9990310668945,88.385,67.69583193461101
2023-06-27 17:09:00,2089.8505096435547,88.46,68.91666666666667
2023-06-27 17:10:00,2086.1724548339844,88.295,68.81666692097981
2023-06-27 17:11:00,2091.607551574707,88.28000000000002,69.02500025431316
2023-06-27 17:12:00,2085.9037017822266,87.90499999999999,68.27916653951009
2023-06-27 17:13:00,2088.5696334838867,87.605,67.82500012715657
2023-06-27 17:14:00,2091.599822998047,87.425,67.8874994913737
2023-06-27 17:15:00,2084.092529296875,87.815,69.13749694824219
2023-06-27 17:16:00,2094.517463684082,87.68,68.8583329518636
2023-06-27 17:17:00,2083.337417602539,87.425,68.74999872843425
2023-06-27 17:18:00,2089.4792098999023,87.47000000000001,68.84583282470703
2023-06-27 17:19:00,2093.3289184570312,87.125,68.0124994913737
2023-06-27 17:20:00,2081.9658966064453,87.21499999999999,68.90833282470703
2023-06-27 17:21:00,2092.267883300781,87.08,69.12083307902019
2023-06-27 17:22:00,2082.736442565918,87.03500000000001,69.21666590372722
2023-06-27 17:23:00,2083.8736877441406,87.185,70.1999994913737
2023-06-27 17:24:00,2082.089889526367,86.885,69.72916603088379
2023-06-27 17:25:00,2067.926239013672,86.96,70.25833447774251
2023-06-27 17:26:00,2074.2318267822266,86.69,69.65416653951009
2023-06-27 17:27:00,2071.02872467041,86.71999999999998,70.04583358764648
2023-06-27 17:28:00,2068.670196533203,86.675,70.10416666666667
2023-06-27 17:29:00,2071.803741455078,86.67500000000001,70.53750038146973
2023-06-27 17:30:00,2070.955924987793,86.795,70.84583473205566
2023-06-27 17:31:00,2059.0844497680664,86.945,71.51666641235352
2023-06-27 17:32:00,2061.212821960449,87.02,71.78749974568684
2023-06-27 17:33:00,2064.681365966797,86.90000000000002,71.70416641235352
2023-06-27 17:34:00,2068.927757263184,86.96,71.94583447774251
2023-06-27 17:35:00,2060.682510375977,87.065,72.12083180745442
2023-06-27 17:36:00,2066.528953552246,86.765,71.5
2023-06-27 17:37:00,2059.441200256348,86.40500000000002,70.15833282470703
2023-06-27 17:38:00,2057.0597534179688,86.135,69.47083282470703
2023-06-27 17:39:00,2042.053451538086,86.40500000000002,70.55416806538899
2023-06-27 17:40:00,2046.054000854492,86.40500000000002,70.5791670481364
2023-06-27 17:41:00,2045.565673828125,86.52499999999999,71.20833333333333
2023-06-27 17:42:00,2039.4923400878904,86.30000000000001,70.5124994913737
2023-06-27 17:43:00,2031.059181213379,86.02999999999999,70.11666552225749
2023-06-27 17:44:00,2028.3636627197263,86.33,71.26250076293945
2023-06-27 17:45:00,2017.378189086914,86.27,71.51666641235352
2023-06-27 17:46:00,2020.7029495239256,86.42,72.32916577657063
2023-06-27 17:47:00,2015.136245727539,86.39,72.41249910990398
2023-06-27 17:48:00,2018.364654541016,86.315,72.58333333333333
2023-06-27 17:49:00,2012.8408660888672,85.925,71.63333447774251
2023-06-27 17:50:00,2015.5863037109373,86.135,72.75000127156575
2023-06-27 17:51:00,2011.1408081054688,86.075,72.58749961853027
2023-06-27 17:52:00,2010.7567443847656,85.43,70.79166793823242
2023-06-27 17:53:00,2011.9439544677732,85.7,72.17499860127766
2023-06-27 17:54:00,2005.7171173095703,85.96999999999998,73.31666437784831
2023-06-27 17:55:00,2011.894317626953,85.77499999999999,72.91666793823242
2023-06-27 17:56:00,2005.3086853027344,85.42999999999999,71.96249961853027
2023-06-27 17:57:00,2012.37393951416,85.58,72.44583257039388
2023-06-27 17:58:00,2000.4483489990237,85.145,71.30416679382324
2023-06-27 17:59:00,1989.580993652344,85.22,71.77916526794434
2023-06-27 18:00:00,1992.8079833984373,85.71499999999999,73.44583511352539
2023-06-27 18:01:00,1981.139587402344,85.7,73.36666742960612
2023-06-27 18:02:00,1982.0833435058596,85.71499999999999,73.67083231608073
2023-06-27 18:03:00,1979.321762084961,85.77499999999999,74.10000101725261
2023-06-27 18:04:00,1964.9791564941409,85.565,73.52500089009602
2023-06-27 18:05:00,2057.801284790039,85.79,74.25833129882812
2023-06-27 18:06:00,2098.5427474975586,85.58,73.72500038146973
2023-06-27 18:07:00,1996.9017028808596,85.565,73.42916742960612
2023-06-27 18:08:00,1946.3480987548828,85.49,73.40416781107585
2023-06-27 18:09:00,1916.4217224121091,85.52,73.5124994913737
2023-06-27 18:10:00,1797.2229614257812,85.565,73.24583435058594
2023-06-27 18:11:00,1503.8974990844729,85.745,73.70000012715657
2023-06-27 18:12:00,1161.1052919626236,85.79,73.77916653951009
2023-06-27 18:13:00,1141.3522493839264,85.73,73.58749961853027
2023-06-27 18:14:00,1106.6683564186096,85.82,73.91249974568684
2023-06-27 18:15:00,1091.7327385544777,85.835,73.99166806538899
2023-06-27 18:16:00,1033.3194581866264,85.67,73.27499898274739
2023-06-27 18:17:00,884.3192688822746,85.38499999999999,72.91250038146973
2023-06-27 18:18:00,878.5142953395844,84.905,71.40833218892415
2023-06-27 18:19:00,877.5319184064865,85.115,72.54166730244954
2023-06-27 18:20:00,868.6168067455292,85.445,73.50833193461101
2023-06-27 18:21:00,867.6225523352623,85.415,73.51250139872234
2023-06-27 18:22:00,860.3122292757034,84.96499999999999,72.2041670481364
2023-06-27 18:23:00,860.9579390287399,84.74,71.88333257039388
2023-06-27 18:24:00,861.1226288676262,85.04,73.16666603088379
2023-06-27 18:25:00,864.9465997815132,85.61,74.98749860127766
2023-06-27 18:26:00,868.0202878117561,85.52,74.86666488647461
2023-06-27 18:27:00,870.5836451649666,85.31,74.3249994913737
2023-06-27 18:28:00,874.599183678627,85.115,73.95833206176758
2023-06-27 18:29:00,877.2484813928604,85.02499999999999,74.09999656677246
2023-06-27 18:30:00,880.5991714000702,84.58999999999999,73.05416679382324
2023-06-27 18:31:00,862.1175901293755,85.04,74.87083307902019
2023-06-27 18:32:00,864.2271295189857,85.01,74.85833358764648
2023-06-27 18:33:00,865.7695361375809,84.67999999999999,73.85416730244954
2023-06-27 18:34:00,868.9131346940994,84.44,73.64583396911621
2023-06-27 18:35:00,870.889915406704,84.47,74.0583324432373
2023-06-27 18:36:00,870.575254201889,84.56,74.60416666666667
2023-06-27 18:37:00,870.9410089254379,84.58999999999999,74.97500101725261
2023-06-27 18:38:00,869.2882449030876,84.725,75.63333447774251
2023-06-27 18:39:00,868.8419578671455,84.5,75.19583257039388
2023-06-27 18:40:00,871.771016895771,84.635,76.20833524068196
2023-06-27 18:41:00,870.9406459331512,84.755,77.02083206176758
2023-06-27 18:42:00,868.5389431715012,84.605,76.99166488647461
2023-06-27 18:43:00,871.6973105669022,84.845,77.70000012715657
2023-06-27 18:44:00,867.8400530815125,84.905,77.9416675567627
2023-06-27 18:45:00,871.427654504776,84.64999999999999,77.57083320617676
2023-06-27 18:46:00,867.6294025182724,84.695,77.91250038146973
2023-06-27 18:47:00,864.2164454460144,84.605,77.88749885559082
